4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 1, 0, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 0, 4, 2, 5, 0, 1, 0, 2, 2, 5, 0, 0, 1, 1, 0, 1, 1, 0, 0, 2, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 
1, 0, 1, 0, 1, 0, 1, 0, 0, 4, 6, 0, 0, 3, 6, 0, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 0, 3, 2, 6, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 9, 
1, 0, 0, 0, 0, 0, 1, 0, 2, 6, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 0, 2, 11, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 1, 
1, 0, 0, 1, 0, 0, 3, 2, 5, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 
1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 2, 6, 0, 3, 2, 0, 0, 4, 5, 0, 4, 5, 0, 0, 0, 1, 0, 0, 1, 
7, 2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 0, 7, 6, 0, 0, 0, 8, 2, 2, 6, 
2, 2, 2, 6, 0, 0, 0, 0, 0, 1, 0, 1, 0, 4, 2, 0, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 2, 
0, 0, 0, 0, 0, 0, 2, 2, 2, 9, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 2, 2, 5, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 16, 0, 1, 0, 0, 0, 3, 2, 6, 0, 0, 0, 0, 4, 2, 2, 2, 
4, 2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7, 2, 2, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 2, 5, 
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11, 2, 2, 0, 2, 2, 6, 0, 0, 1, 
1, 0, 1, 0, 2, 2, 2, 2, 2, 5, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 4, 2, 5, 0, 0, 0, 1, 0, 0, 0, 1, 0, 4, 11, 2, 2, 2, 9, 
1, 0, 4, 2, 2, 2, 2, 2, 0, 1, 0, 0, 0, 0, 7, 2, 6, 0, 0, 0, 7, 2, 2, 2, 6, 0, 1, 1, 0, 0, 0, 1, 
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 0, 0, 0, 1, 
1, 0, 1, 0, 1, 0, 2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9, 
1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 4, 5, 0, 4, 5, 0, 4, 5, 0, 0, 0, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 1, 
1, 0, 2, 2, 10, 2, 2, 0, 1, 0, 7, 6, 0, 1, 1, 0, 1, 1, 4, 5, 0, 0, 0, 3, 2, 2, 2, 2, 0, 2, 2, 9, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 4, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 1, 0, 1, 7, 10, 10, 10, 10, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 
